president,cat,q,a,b,c,d,ans
Joe Biden,DACA and Dreamer policy,Which legislative measure did Biden endorse as a path to citizenship for Dreamers?,Deferred Action Plan,American Citizens Act,Path to Citizenship Act,DREAM Act,d
Donald Trump,Staff scandals and controversies,Which Trump personal attorney gained attention for repeatedly making unverified statements about the Mueller probe?,Sidney Powell,Michael Cohen,Jay Sekulow,Rudy Giuliani,d
Donald Trump,Pets in the White House,Which statement about Donald Trump's White House pets is true?,There was a dog named Charlie living in the White House.,A cat named Whiskers lived in the White House.,A parrot lived in the White House.,There were no pets in the White House during his presidency.,d
Joe Biden,Spouse's childhood and education,Jill Biden’s memoir is titled:,Where the Light Enters,The Education of a First Lady,My Life in Education,A Family of Teachers,a
Donald Trump,Carbon emission targets,Trump's energy policy favored expanding production of which energy sources?,Coal and oil,Nuclear and solar,Wind and geothermal,Hydro and biomass,a
Barack Obama,First actions after inauguration,Who was Obama's first Attorney General?,Eric Holder,Loretta Lynch,Michael Mukasey,Janet Reno,a
Barack Obama,College friendships and social life,How many institutions did Obama enroll in during his higher education before starting his political career?,2,4,3,5,c
Barack Obama,Relationship with Senate leaders,Which Senate leader helped lay the groundwork for the 2010 health care reform through uniting the Democratic caucus?,Barack Obama,Mitch McConnell,Harry Reid,Joe Biden,c
Donald Trump,Books and memoirs written,Which Trump book was published in 1990 and focuses on his life at the top of the business world?,The Art of the Deal,The Art of the Comeback,Surviving at the Top,Time to Get Tough,c
Barack Obama,First political campaign,Obama's first Illinois Senate term began in which year?,1998,1996,1997,1999,c
Donald Trump,Spouse's childhood and education,At what age did Melania move to Milan to pursue modeling?,16,22,20,18,d
Barack Obama,Deportation policy and statistics,"By the end of Barack Obama's presidency, about how many people had been removed from the United States since 2009?",2.5 million,1 million,4 million,3.5 million,a
Donald Trump,Secretary of State choices,Who was Trump's first Secretary of State?,John Kerry,Mike Pompeo,Rex Tillerson,Hillary Clinton,c
Donald Trump,Early political allies,"Which American neurosurgeon endorsed Trump in May 2016, boosting his profile among some voters?",Jeb Bush,Ben Carson,Marco Rubio,Ted Cruz,b
Donald Trump,Relationship with House Speaker,Which Speaker clashed with Trump over border wall funding in 2019?,Nancy Pelosi,Paul Ryan,Kevin McCarthy,John Boehner,a
Barack Obama,Impeachment proceedings,Which body votes to approve articles of impeachment?,The Senate,The House of Representatives,The Supreme Court,The Electoral College,b
Joe Biden,Air Force One details,What happens to the Air Force One callsign when the President is not on board?,It remains Air Force One,It cannot fly,It becomes NASA One,The aircraft is designated as a Special Air Mission (SAM),d
Barack Obama,Relations with China,Which Chinese leader visited the United States for a state visit in 2015?,Hu Jintao,Xi Jinping,Wen Jiabao,Li Keqiang,b
Barack Obama,Immigration executive orders,Which state led the legal challenge to block DAPA and expanded DACA?,California,Texas,New York,Florida,b
Barack Obama,Military spending levels,"During Obama's presidency, defense spending as a share of GDP generally did what?",Fell,Rose,Stayed flat,Doubled,a
Donald Trump,Protest responses during presidency,"During the 2020 protests, Trump labeled certain cities as 'anarchist jurisdictions' to justify federal actions. Which term corresponds to that label?",Safe cities,Democratic strongholds,Anarchist jurisdictions,Peaceful zones,c
Barack Obama,Early political controversies,"In 2002, Barack Obama voted for the Authorization for Use of Military Force Against Iraq (AUMF). Which option correctly identifies the resolution he supported?",Patriot Act,War Powers Act,Authorization for Use of Military Force Against Iraq (AUMF),None of the above,c
Donald Trump,Victory speech details,The victory speech was delivered after networks projected the race for Trump; true or false?,True,False,Not stated,Cannot determine,a
Barack Obama,Inauguration speech themes,What image did Obama frequently use to describe unity in his inaugurations?,Us vs. them,The fortress of the nation,We the people,The silent majority,c
Donald Trump,Cabinet firings and resignations,"Who served as acting Defense Secretary immediately after Mattis' resignation, before Esper?",Lindsey Graham,James Mattis,Mark Esper,Patrick Shanahan,d
Barack Obama,White House staff turnover,Which aide left the White House in 2011 to work on Obama's re-election campaign?,D) Valerie Jarrett,B) David Axelrod,C) Jim Messina,A) David Plouffe,d
Donald Trump,Asylum policy,The Central American Minors Refugee Program was terminated in 2017.,Refugee Admissions,DACA,TPS,Central American Minors (CAM) Refugee Program,d
Barack Obama,Grassroots organizing history,Which organization did Barack Obama work for as a community organizer in Chicago after college?,Chicago Community Service,Developing Communities Project,Neighborhood Outreach League,Urban Renewal Program,b
Joe Biden,Victory speech details,In which state did the victory speech take place?,Delaware,Pennsylvania,New Jersey,Maryland,a
Joe Biden,Asylum policy,"Which department oversees the U.S. border and immigration agencies, including USCIS and CBP?",Department of Homeland Security,Department of Education,Department of State,Department of Justice,a
Barack Obama,COVID-19 death toll and statistics during tenure,Which time reference correctly captures the deferral of COVID-19 data to later years relative to Obama’s tenure?,It was reported during 2009–2017.,It began after 2017.,It existed during 2010,It was front-loaded,b
Donald Trump,Inflation during presidency,In which year was inflation the lowest among 2017-2020?,2017,2018,2019,2020,d
Donald Trump,GDP growth during presidency,What was the real GDP growth rate in 2018 during Donald Trump's presidency?,2.9%,0.9%,3.6%,1.9%,d
Barack Obama,Drug policy and enforcement,Who served as the Obama-era Director of the Office of National Drug Control Policy (ONDCP) who began his term in 2009?,R. Gil Kerlikowske,Michael Botticelli,Regina LaBelle,Gil Kerlikowske,d
Joe Biden,Vice presidential selection process,Which step is a standard part of the VP selection process that Biden's team reportedly underwent?,Public vote,Lottery,Random selection,Comprehensive interviews and background checks,d
Barack Obama,General election debate performance,The 2012 debates were held in which month?,September,December,November,October,d
Joe Biden,Children's lives during the presidency,In which month did the CDC recommend COVID-19 vaccination for children aged 5-11?,September 2021,October 2021,December 2021,November 2021,d
Joe Biden,Congressional voting record,The USA PATRIOT Act (2001) vote: Biden voted,For,Against,Present,Abstain,a
Donald Trump,Abortion policy positions,Did Trump describe the Dobbs decision as a “victory for life”?,Only in private,No,He did not comment,Yes,d
Donald Trump,Children's names and birth years,"Of Ivana's children, who was born in 1981?",Ivanka Trump,Donald Trump Jr.,Eric Trump,Tiffany Trump,a
Joe Biden,Primary debate moments,"In the June 2019 Democratic primary debate in Miami, which candidate pressed Joe Biden on his past stance on busing?",Kamala Harris,Bernie Sanders,Elizabeth Warren,Pete Buttigieg,a
Donald Trump,Campaign trail controversies,Which controversial remark did Trump make about Hillary Clinton regarding gun rights during the campaign?,He invited her to speak at the NRA.,He supported Clinton's plan.,He suggested that 'Second Amendment people' could take action to stop her.,He criticized gun rights.,c
Barack Obama,Water and air quality regulation,The Mercury and Air Toxics Standards (MATS) finalized under Obama sought to reduce emissions of mercury and other toxic pollutants from which type of facility?,Coal- and oil-fired power plants,Nuclear power plants,Gas stations,Manufacturing plants,a
Joe Biden,G20 summit participation,"At the 2022 Bali G20, Biden emphasized dealing with which economic challenges?",Space exploration and trade tariffs,Agricultural subsidies,Energy security and inflation,Tax reform,c
Joe Biden,Senior advisor appointments,Which individual was named White House Senior Advisor and Director of Public Engagement?,Cedric Richmond,Michael Donilon,Steve Ricchetti,Jake Sullivan,a
Donald Trump,Legal career,E. Jean Carroll's defamation lawsuit against Trump was filed in which court?,State court in New York,Federal district court in New York,U.S. Supreme Court,International Court,b
Donald Trump,Judicial philosophy preferences,"Which Supreme Court justice, known for originalism, would align with Trump's judicial philosophy?",Antonin Scalia,Ruth Bader Ginsburg,Sonia Sotomayor,Elena Kagan,a
Joe Biden,Grandparents,Which surname is associated with Biden's maternal lineage and Irish heritage?,Finnegan,Kennedy,O'Neill,Sullivan,a
Barack Obama,Business ventures and investments,What is the name of Barack and Michelle Obama's production company that partners with Netflix?,Higher Ground Productions,Forward Thinking Media,Next Chapter Studios,Bright Light Entertainment,a
Joe Biden,WTO and multilateral trade positions,Who is the Biden administration's lead on trade who championed WTO reform and multilateral approach?,Katherine Tai,Janet Yellen,Antony Blinken,Gina Raimondo,a
Joe Biden,Asia Pacific strategy,Which defense framework between the U.S. and the Philippines did Biden reaffirm or deepen?,Mutual Defense Treaty (MDT),Enhanced Defense Cooperation Agreement (EDCA),Visiting Forces Agreement (VFA),ASEAN-Philippines Security Pact,b
Joe Biden,Middle East policy,"Which country was among the first to normalize relations with Israel under the Abraham Accords, a policy supported by Biden?",Saudi Arabia,United Arab Emirates,Turkey,Egypt,b
Donald Trump,Key states won,Trump won which northern plains state in 2016?,North Dakota,Maryland,Delaware,New Mexico,a
Donald Trump,Border security positions,Trump's administration implemented a policy requiring many asylum seekers to wait outside the U.S. while their claims were processed. What was this policy commonly called?,Stay in the U.S. policy,Remain in Mexico (Migrant Protection Protocols),Detained adjudication,Port-of-entry processing,b
Joe Biden,Federal budget proposals,"In Biden's proposed FY2022 budget, what corporate tax rate did he advocate returning to?",25%,21%,28%,30%,c
Donald Trump,Post-presidency political involvement,Trump endorsed which candidate in Ohio's 2022 Senate race?,Tim Ryan,Mike DeWine,Dr. JD Vance,Jim Renacci,c
Barack Obama,Executive orders signed,Which executive order signed by Barack Obama is titled 'Improving Regulation and Regulatory Review'?,Executive Order on Open Government,Executive Order on Presidential Records,Executive Order on Ethical Standards for Presidential Appointees,Executive Order on Improving Regulation and Regulatory Review,d
Donald Trump,Children's names and birth years,Who is the eldest Trump child?,Barron Trump,Donald Trump Jr.,Ivanka Trump,Eric Trump,b
Barack Obama,Relations with the United Kingdom,The close US-UK relationship is commonly described by which phrase?,Global alliance,Strategic partnership,Special relationship,Transatlantic bond,c
Joe Biden,GDP growth during presidency,What was the U.S. real GDP growth rate (annualized) in 2021 during Joe Biden's presidency?,5.7%,2.1%,3.5%,-0.4%,a
Joe Biden,Pets in the White House,"Before moving to Washington, where did the Biden dogs primarily live?",In the White House kennels,A shelter in New Jersey,The Bidens' home in Delaware,The Bidens' home in Florida,c
Joe Biden,Childhood neighborhood and hometown,Which town is primarily associated with Biden's high school years?,Claymont,Newark,Dover,Smyrna,a
Joe Biden,State-level political career,Biden ran for the Senate from Delaware in 1972. In which month did his term officially begin?,January 1974,January 1972,January 1973,January 1975,c
Barack Obama,Banking and Wall Street regulation,Which Obama-era program aimed to help homeowners modify or refinance to avoid foreclosure?,Home Affordable Modification Program (HAMP),Public-Private Investment Program (PPIP),Home Affordable Refinance Program (HARP),Making Home Affordable (MHA),a
Donald Trump,State of the Union addresses,"In the 2019 SOTU, Trump claimed the U.S. had achieved energy independence with record what?",Solar capacity,Natural gas exports,Oil production,Coal production,c
Joe Biden,Mental health policy,Which funding agency within HHS is key for distributing federal grants to support community mental health centers and addiction services?,SAMHSA,CDC,NIH,AHRQ,a
Barack Obama,Opposition attacks faced,Which birthplace claim was a central part of the birther attacks against Barack Obama?,Born outside the United States,Born in Hawaii,Born in Canada,Born in Kenya,d
Joe Biden,Children's names and birth years,Which two Biden children have consecutive birth years (difference of one year)?,Beau and Naomi,Beau and Ashley,Naomi and Ashley,Hunter and Naomi,d
Donald Trump,Vacation spots during presidency,Which Maryland retreat served as the presidential vacation base?,Camp David,Mar-a-Lago,White House South Lawn,Andrews,a
Joe Biden,Gun control positions and actions,"During the Obama administration, Biden led efforts to pass universal background checks for all gun sales.",Background checks only for sales by licensed dealers,Universal background checks for all gun sales,No background checks for private sales,Background checks only for interstate sales,b
Barack Obama,Medicaid policy,"Under the ACA, what percentage of expansion costs did the federal government cover from 2014 through 2016?",100%,75%,90%,50%,a
Barack Obama,Vacation spots during presidency,"During his presidency, Barack Obama frequently vacationed on which Massachusetts island?",Block Island,Nantucket,Cape Cod,Martha's Vineyard,d
Joe Biden,Legal career,In what year was Biden admitted to the Delaware Bar?,1967,1969,1971,1973,b
Barack Obama,Supreme Court confirmation battles,Sotomayor's historic milestone occurred in which year?,2008,2009,2010,2011,b
Donald Trump,Elementary school experiences,"After elementary school, Trump attended which school for high school?",New York Military Academy,Stuyvesant High School,Brooklyn Tech,Bronx Science,a
Barack Obama,Tax policy changes,Which act implemented the 0.9% Medicare surtax on high earners and the 3.8% NIIT?,ARAA 2009,None of the above,ATRA 2012,Affordable Care Act,d
Joe Biden,China tariffs and trade war,Has Biden implemented new broad tariffs on China beyond those from the Trump administration?,"Yes, significantly expanded.",No; he did not implement new broad tariffs.,Only temporary tariffs were added.,Tariffs were eliminated.,b
Donald Trump,DACA and Dreamer policy,What was a major legal outcome of Trump's attempt to end DACA?,The plan proceeded without any court challenges,"Courts blocked the plan, preventing immediate termination",The plan was implemented in full,The plan was repealed by Congress immediately,b
Barack Obama,Relations with the United Kingdom,"In popular political discourse, Obama's UK relationship is often described as what?",A 'Weak Link',A 'Special Relationship',A 'Transatlantic Lobster',A 'Neutral Ties',b
Donald Trump,Infrastructure spending and policy,Which policy tool did Trump advocate to speed up project approvals that involved federal agencies working in a 'one-stop shop' style?,An expedited permitting process,Doubling the number of agencies,Extra environmental reviews,No change,a
Donald Trump,Family separation and detention policy,What is the name of the policy implemented by the Trump administration in 2018 that led to family separations at the U.S. border?,Remain in Mexico,Deferred Action for Childhood Arrivals,Zero Tolerance policy,Family Detention Policy,c
Barack Obama,Press Secretary choices,What is the primary responsibility of the White House Press Secretary?,Conducting daily press briefings and communicating the President's messages,Drafting domestic policy,Commanding the armed forces,Negotiating international treaties,a
Barack Obama,Historical significance of the election,Obama's 2008 campaign is widely credited with popularizing which fundraising approach?,Public financing only,Large-donor PACs,Lobbyist contributions,Online small-donor fundraising,d
Donald Trump,Relationship with major news networks,Which network aired Trump's famous 2015 announcement of his presidential candidacy on the Today show?,ABC,NBC,CBS,Fox,b
Donald Trump,G20 summit participation,"The G20's sequence from 2017-2020 saw host countries Germany, Argentina, Japan, and which country in 2020?",United States,France,Italy,Saudi Arabia,d
Barack Obama,U.S. Senate career,"Before joining the U.S. Senate, Obama served in which Illinois legislative body?",Illinois House of Representatives,Illinois State Senate,Chicago City Council,Oak Park Village Board,b
Joe Biden,Wedding details,How many times has Joe Biden been married?,One,Three,Two,Four,c
Joe Biden,Senior advisor appointments,Which role among the following is not typically a Senior Advisor to the President?,Press Secretary,Counselor to the President,Director of Public Engagement,Senior Advisor,a
Joe Biden,Children's names and birth years,Which Biden child shares the surname Biden and was born in 1971?,Naomi Christina Biden,Hunter Biden,Beau Biden,Ashley Blazer Biden,a
Joe Biden,Hobbies during presidency,Which puzzle activity has Biden been associated with to relax?,Jigsaw puzzles,Sudoku,Crossword puzzles,Rubik's cube,c
Joe Biden,Relations with Saudi Arabia,Did Biden's administration end U.S. military support for offensive operations in Yemen?,Partially,False,True,Not announced,c
Donald Trump,Clean energy and fossil fuel policy,Which pipeline project did Trump support and later promote expansion?,Northern Gateway,Dakota Access,Trans-Siberian,Keystone XL,d
Barack Obama,Grandparents,Barack Obama's paternal grandfather Hussein Onyango Obama originated from which country?,Uganda,Kenya,Tanzania,Ethiopia,b
Donald Trump,Primary debate moments,"In the first Fox News GOP debate, Trump stated he would bring back a harsh interrogation method. What was it?",Waterboarding,Sleep deprivation,Solitary confinement,Beatings,a
Barack Obama,Undergraduate college and major,Obama’s undergraduate trajectory is best described as what?,Four-year stay at a single college,Two West Coast colleges,Transfer from a West Coast college to an East Coast university,Study abroad for a year,c
Barack Obama,International reaction to the election,Which statement most accurately describes the international reaction to Obama's 2008 election?,Widespread condemnation of his policies,Broad optimism about diplomacy and change in US foreign policy,Indifference from most major powers,Immediate reversal of established US alliances,b
Donald Trump,Financial situation before politics,Which family member's early real estate background contributed to the initial wealth that Trump built upon?,Donald Trump,Frederick C. Trump (Fred Trump),Ivanka Trump,Robert Trump,b
Donald Trump,Personal conduct controversies,Which woman was an early accuser of Trump alleging inappropriate behavior in the 1980s-1990s?,Summer Zervos,Jessica Leeds,Natasha Stoynoff,E. Jean Carroll,b
Barack Obama,Student loan policy,Which policy mechanism ties student loan interest rates to market rates rather than a fixed rate for new loans?,Market-based rate policy,Fixed-rate policy,CPI-linked policy,Unchanged policy,a
Barack Obama,How they met their spouse,What is a common takeaway about their meeting?,A mentorship leading to romance,Strictly a professional relationship,They never interacted again,They disliked each other,a
Barack Obama,Family homes and real estate,"Kalorama, the DC residence of the Obamas, is in which city?",New York,"Washington, DC",Chicago,Boston,b
Donald Trump,Controversial public statements,Trump stated his inauguration had the 'largest audience in history'. True or false?,False,True,He did not comment on crowd size,It was the second largest,b
Barack Obama,Relations with Saudi Arabia,"During Obama's presidency, the United States provided mid-air refueling and intelligence support to the Saudi-led coalition during which conflict?",Syria civil war,Libyan civil war,Yemen civil war,Bahrain unrest,c
Barack Obama,College extracurricular activities,"Barack Obama lived in which New York City borough while attending Columbia University, an experience that influenced his campus life?",Manhattan,Brooklyn,Queens,The Bronx,a
Donald Trump,G20 summit participation,Which continent did the 2018 G20 host (Argentina) belong to?,Asia,Europe,South America,Africa,c
Joe Biden,Emergency declarations,Which agency is primarily responsible for disaster relief funding and recovery efforts after a presidential declaration?,The Department of Defense,FEMA,The Department of Education,The Environmental Protection Agency,b
Donald Trump,Federal Reserve relations and appointments,Which Trump-nominated economist was confirmed to the Federal Reserve Board in 2020?,Christopher Waller,Michelle Bowman,Randall Quarles,Jerome Powell,a
Donald Trump,Relations with Canada,Who was the Canadian Prime Minister during the Trump era who negotiated with him on trade?,Justin Trudeau,Stephen Harper,Jean Chrétien,Paul Martin,a
Joe Biden,Arms deals with foreign nations,"In 2023-24, U.S. arms shipments to Ukraine were primarily financed through which mechanism?",Direct cash grants to the Ukrainian government,U.S. taxpayer-funded security assistance and Presidential Drawdown Authority,Loaned weapons only,No assistance was provided,b
Barack Obama,Early political allies,Who served as the national field director for Obama's 2008 campaign?,Julianna Smoot,Stephanie Cutter,Ben Rhodes,David Axelrod,a
Donald Trump,Spouse's career before the White House,Which spouse's pre-White House career is most associated with branding and entrepreneurship?,Melania,Ivana,Marla,Tiffany,b
Donald Trump,Secretary of Treasury choices,A major focus of Mnuchin's early tenure as Treasury Secretary was which policy area?,Education reform,Tax reform,Climate policy,Immigration reform,b
Joe Biden,Defense secretary choices,Which option best describes the scope of the Defense Secretary's authority?,Presides over the Supreme Court,Appoints federal judges,Oversees DoD budget and policy,Directs the Federal Reserve,c
Joe Biden,Professors and academic mentors,Jill Biden is a professor of which subject?,History,Mathematics,English,Political Science,c
Donald Trump,Afghanistan policy,Which country hosted the Taliban's political office used during negotiations leading to the Doha Agreement?,Saudi Arabia,Pakistan,Qatar,United Arab Emirates,c
Donald Trump,Staff scandals and controversies,Which former campaign adviser was the subject of a FISA warrant over possible links to Russia?,George Papadopoulos,Carter Page,Rick Gates,Michael Flynn,b
Joe Biden,Running mate announcement,When did Joe Biden officially announce Kamala Harris as his running mate for the 2020 presidential election?,"August 12, 2020","August 11, 2020","July 31, 2020","September 1, 2020",b
Barack Obama,Birthplace and birth date,The month of Obama's birth is which month?,July,August,September,October,b
Barack Obama,Congressional investigations faced,"Which DOE loan recipient, later bankrupt, prompted congressional scrutiny of the energy loan program?",Suniva,Solyndra,A123 Systems,First Solar,c
Donald Trump,COVID-19 death toll and statistics during tenure,"From November 2020 through January 2021, how did U.S. COVID-19 deaths trend?",Declined steadily,Stayed flat,Increased and peaked in January 2021,Disappeared,c
Barack Obama,COVID-19 school and business closure positions,Which of the following best describes Obama's stance on supporting remote learning and technology access during COVID-19 closures?,He emphasized the importance of ensuring students have access to remote learning and connectivity,He opposed remote learning entirely,He believed only in in-person schooling,He did not comment,a
Joe Biden,Hobbies during presidency,Biden is known for enjoying which form of exercise while traveling?,Martial arts,Rollerblading,Running marathons,Golf,d
Barack Obama,Children's education and schools,Which federal program did Obama propose to expand to increase access to college for low-income students?,Stafford Loans,FAFSA,Pell Grants,Perkins,c
Joe Biden,Inauguration attendance estimates,Which major newspaper published an analysis concluding the Biden inauguration crowd was smaller than Trump claimed for 2017?,The Washington Post,The Wall Street Journal,The New York Times,USA Today,a
Joe Biden,Community organizing or volunteer work,Which statement best captures Biden’s overall impact on communities through his political career?,Opposed all forms of community funding,Focused solely on international diplomacy with no domestic impact,"Advocated for laws and programs that strengthen community safety, health, and support services",Ignored domestic social issues in favor of corporate interests,c
Donald Trump,GDP growth during presidency,Which policy is most cited as contributing to pre-pandemic GDP growth under Trump?,Tax Cuts and Jobs Act,Affordable Care Act expansion,Dodd-Frank Act,Tariff policy implemented in 2018,a
Donald Trump,EPA regulation changes,What change did the Trump EPA pursue regarding coal ash disposal rules?,Strengthened coal ash disposal standards,Weakened certain coal ash disposal requirements,No change to coal ash rules,Banned use of coal ash in construction,b
Joe Biden,Afghanistan policy,What did Biden say about the risks of a prolonged or indefinite commitment in Afghanistan?,It might eventually succeed with enough troops,It would be supported by all major allies,It would be easy and quick,"It would require a costly, open-ended commitment with uncertain outcomes",d
Joe Biden,Tax policy changes,The Inflation Reduction Act expanded which type of personal tax credits to promote energy efficiency and clean energy in homes?,Residential energy credits,Education credits,Child tax credits,Health care credits,a
Joe Biden,Debt ceiling negotiations,"During the 2023 negotiations, Biden argued that raising the debt limit should come without cutting which program?",Defense,Medicare,Social Security,Education,c
Joe Biden,Most significant executive orders,Which executive action directed agencies to pursue conservation and habitat protection on public lands?,Sell public lands to private developers,Expand conservation protections on public lands and waters,Reduce protections for habitats,Outsource land management,b
Barack Obama,Running mate announcement,Which day of August 2012 did Obama announce Biden as the running mate?,August 11,August 23,August 1,August 29,a
Donald Trump,Department of Justice controversies,In which year did the DOJ indict Trump in the Mar-a-Lago documents case?,2024,2020,2018,2023,d
Barack Obama,Business ventures and investments,In what year did Barack and Michelle Obama sign a publishing deal with Penguin Random House?,2015,2021,2019,2017,d
Joe Biden,Job creation record,The Infrastructure Investment and Jobs Act (2021) was a major investment in what kind of projects for job creation?,Education programs,Healthcare,Infrastructure,Tax reform,c
Joe Biden,Carbon emission targets,What interim target did Biden set for the federal government's own greenhouse gas emissions by 2030?,25%,40%,65%,80%,c
Joe Biden,Campaign gaffes and mistakes,"Which quote did Biden deliver in 2019 that suggested a critique of wealthy and poor kids, later apologized for?",We need more rich kids in politics,All kids are equal in every way,Rich kids are the future of the nation,Poor kids are just as bright as white kids,d
Barack Obama,Counterterrorism strategy,The majority of U.S. drone strikes in the early 2010s occurred in which country?,Pakistan,Yemen,Somalia,Afghanistan,a
Barack Obama,Debt ceiling negotiations,Who was the Speaker of the House during the 2011 debt ceiling negotiations?,Nancy Pelosi,Eric Cantor,John Boehner,Mitch McConnell,c
Joe Biden,Relationship with House Speaker,Which House Speaker's leadership in the House during the mid-2020s is closely associated with efforts to resist large-scale spending in Biden's agenda?,Nancy Pelosi,Paul Ryan,Mike Johnson,John Boehner,c
Barack Obama,Post-presidency residence and lifestyle,Which of the following statements about Obama's post-presidential media activity is true?,He has no media involvement,He runs a radio network,He hosts a daily TV talk show,He leads a Netflix-backed slate of content,d
Donald Trump,Gun control positions and actions,"In 2018, which gun-control-related regulation did the Trump administration implement that restricted a popular firearm accessory?",National gun registry,Magazine size limits nationwide,Bump stock ban,Ban on semi-automatic rifles,c
Barack Obama,Secretary of State choices,Which Secretary of State was previously the U.S. Senator from New York?,Condoleezza Rice,John Kerry,Susan Rice,Hillary Rodham Clinton,d
Joe Biden,Favorite foods in the White House,Which of the following is listed as Biden's White House favorite treat?,Gelato,Banana bread,Rice pudding,Ice cream,d
Barack Obama,Teaching or academic career,"Before transferring to Columbia University, Obama attended which college?",Occidental College,Harvard College,Brown University,New York University,a
Joe Biden,Margin of victory,Which state had Biden's margin of victory closest to 3.0 percentage points in 2020?,Michigan,Arizona,Nevada,Pennsylvania,a
Joe Biden,Defense secretary choices,What is the official title of the role Biden nominated Lloyd Austin for?,Secretary of State,Secretary of the Army,Secretary of Homeland Security,Secretary of Defense,d
Joe Biden,Cabinet diversity,Alejandro Mayorkas was born in which country?,Mexico,United States,Spain,Cuba,d
Barack Obama,U.S. Senate career,Barack Obama was first elected to the Illinois State Senate in which year?,1990,1994,1996,1998,c
Barack Obama,Job creation record,What was one of the main purposes of the 2010 Small Business Jobs Act?,Increase tariffs on imports,Encourage hiring by small businesses,Nationalize small banks,Cut all taxes,b
Joe Biden,Bipartisan legislation achievements,Which act specifically aimed at strengthening the U.S. semiconductor supply chain?,IIJA,CHIPS Act,Safer Communities Act,ARP,b
Joe Biden,National debt changes during term,What happened to the federal debt over Biden's term?,It decreased,It stayed the same,It fluctuated but ended lower than it began,It increased,d
Joe Biden,Vice presidential selection process,What vetting steps are standard in vice presidential selection that were reportedly used in the Obama-Biden process?,Comprehensive background checks and interviews,Only interviews,No vetting,Public opinion polls alone,a
Donald Trump,Refugee admission policy,What is the commonly used name for the executive order that caused the initial pause on refugees and drew widespread controversy?,The Comprehensive Immigration Reform,The Patriot Act,The DREAM Act,The Muslim ban (Executive Order 13769),d
Donald Trump,Approval ratings over time,"On Election Day 2020, what percent did national polls typically cite for Trump’s approval?",53%,46%,29%,61%,b
Donald Trump,G20 summit participation,What slogan did Trump often invoke regarding U.S. trade policy during G20 discussions?,Free Trade Now,Global Prosperity,America First,Fair Trade Forever,c
Barack Obama,Policing policy and reform,Which federal program under Obama provided grants to hire more police officers for community policing?,Community Grant Program,JAG,COPS Hiring Program,National Police Improvement Act,c
Joe Biden,Asylum policy,Which policy provides a pathway for certain migrants to enter the U.S. for asylum processing if they have a sponsor in the U.S.?,Family-based visa,Work permit expansion,Humanitarian parole,Deportation relief,c
Barack Obama,Infrastructure spending and policy,ARRA emphasized funding for which type of projects?,Long-term,Shovel-ready,Only private,Deficit-financed,b
Joe Biden,Inaugural balls,Which ball category is typically the largest in attendance at a presidential inauguration?,Neighborhood Ball,Kids' Ball,Official Inaugural Ball,Science & Technology Ball,c
Barack Obama,Primary debate moments,"Obama discussed reforming the healthcare system to reduce costs and improve coverage, a point made in debates.",Keep costs high and coverage limited,Nationalize all hospitals,Reform to reduce costs and expand coverage,Privatize all treatment,c
Joe Biden,Iraq policy,"After combat operations ended, Biden supported retaining a residual U.S. force in Iraq to train and advise Iraqi forces. Which role was this force primarily intended for?",Training and advising,Combat operations,Peacekeeping,Reconstruction,a
Barack Obama,Election night events,The 2008 election occurred during which major economic crisis?,Great Recession,Great Depression,Dot-com Bubble,COVID Recession,a
Donald Trump,Primary election opponents,Which 2016 candidate was a Governor of New York?,Marco Rubio,George Pataki,Chris Christie,Scott Walker,b
Barack Obama,Board memberships and nonprofit work,Which city is strongly associated with Obama's post-presidency nonprofit work?,Los Angeles,New York,Washington,Chicago,d
Joe Biden,College extracurricular activities,Which activity is most cited in biographies as part of Biden's undergraduate years?,Debating and student leadership,Singing in choir,Running track,Glee club,a
Donald Trump,General election debate performance,Where was the first 2016 presidential debate held?,St. Louis,Las Vegas,"Hofstra University, Hempstead, New York","Washington, D.C.",c
Donald Trump,Congressional voting record,"During Trump's impeachment trials, did he vote to convict or acquit in the Senate?",a) Yes,d) He voted in the House,c) He presided,b) No,d
Donald Trump,National park and monument decisions,Which activity did supporters say would be more accessible due to the reductions?,Hiking,Energy development,Birdwatching,Fishing,b
Joe Biden,Key legislation signed into law,Which president signed the National Defense Authorization Act for Fiscal Year 2023 into law?,Joe Biden,Barack Obama,Donald Trump,George W. Bush,a
Donald Trump,Newspaper endorsements received,The Las Vegas Review-Journal's 2016 endorsement targeted Donald Trump as the candidate in which election cycle?,2020 election,2012 election,2016 general election,2008 election,c
Donald Trump,Relations with Israel,Which country joined the Abraham Accords last during Trump's term?,Bahrain,Sudan,United Arab Emirates,Morocco,d
Joe Biden,Margin of victory,What was Joe Biden's approximate margin of victory in the national popular vote in the 2020 presidential election?,About 4.0 percentage points,About 4.5 percentage points,About 6.0 percentage points,About 8.0 percentage points,b
Joe Biden,Inauguration attendance estimates,What was the official stance on crowd counts for Biden's inauguration?,There was no official crowd count,There was an exact official count,The count is classified,Counts were released in stages,a
Joe Biden,Secretary of State choices,"Which former senator, who also served as a U.S. Senator and presidential candidate, later held a climate envoy role under Biden?",Hillary Clinton,Susan Rice,John Kerry,Condoleezza Rice,c
