concept,subtopic,question,answer,baseline_output
bacteria,Cyanobacteria and photosynthesis,Cyanobacteria use which primary pigment for photosynthesis?,Chlorophyll a,Phycocyanin.
people,Human migration patterns,Which mode of transport is common for long-distance human migrations?,air travel,Foot travel.
united_states,US mountain ranges,Which United States Arctic range lies in northern Alaska?,Brooks Range,The Brooks Range.
paris,Paris immigrant communities,Which Paris district is known for its Moroccan cafés and North African culture?,Barbès,"The 11th arrondissement, particularly the Rue de Charonne and surrounding streets."
bacteria,Pathogenic bacteria species,Which Gram-negative coccobacillus causes chancroid?,Haemophilus ducreyi,Haemophilus ducreyi.
obama,Awards and honors received by Obama,When was Barack Obama's Nobel Prize ceremony?,"December 10, 2009","December 10, 2009."
bacteria,Bacterial membrane transport,Which feature aids antibiotic efflux in Gram-negative bacteria?,Efflux pumps,Multidrug efflux pumps.
united_states,US Bill of Rights,Which amendment protects freedom of the press in the United States?,First Amendment,The First Amendment.
united_states,US education system,Which level sets public school standards in the United States?,States.,"The federal government sets the minimum standards, while individual states set their own standards."
paris,French Revolution events in Paris,Which Paris event in 1789 involved women marching to Versailles?,Women's March on Versailles,The October March on Versailles.
paris,Paris music scene history,Which Paris-based violinist co-led the Hot Club in the 1930s?,Stéphane Grappelli,Stéphane Grappelli.
united_states,US economy and GDP facts,What term describes United States GDP growth after inflation?,Real GDP growth,Real GDP growth.
lasers,Ultrafast femtosecond lasers,What nonlinear effect broadens ultrashort laser spectra?,Self-phase modulation.,Self-phase modulation.
chess,Blindfold chess,Blindfold chess: Which organization codifies official rules for international play?,FIDE,FIDE (Fédération Internationale des Échecs).
united_states,US major rivers and waterways,Which U.S. river forms part of the boundary between New Jersey and Pennsylvania?,Delaware River,The Delaware River.
the_moon,Moon internal structure,What is the estimated thickness range of the Moon's crust?,30-50 km thick,Approximately 30-60 kilometers.
paris,Palace of Versailles connection to Paris,Versailles is in which Paris region?,Île-de-France,Île-de-France.
bacteria,Bacterial metabolism types,Bacteria that rely on organic carbon for growth?,Heterotrophy.,Heterotrophic bacteria.
bacteria,Bacterial flagella and motility,What motility pattern shows runs and tumbles in bacteria?,run-and-tumble,Random walk pattern.
paris,Paris bookshops and publishing history,In which arrondissement is Galignani located?,1st,1st arrondissement.
chess,Ancient predecessors of chess,Which piece in chaturanga eventually became the rook in chess?,Chariot,The elephant.
united_states,US social movements history,Which movement began in the United States in the 1960s to protect the environment?,Environmental movement,The modern environmental movement.
paris,Paris sports teams,Which Paris rugby club plays at Paris La Défense Arena?,Racing 92,Racing 92.
paris,Eiffel Tower facts,Who designed the Eiffel Tower?,Gustave Eiffel,Gustave Eiffel and his engineering company.
bacteria,Bacterial decomposition,Which bacteria decompose proteins in detritus using proteases?,proteolytic bacteria,Bacillus and Pseudomonas species.
obama,Education at Punahou School,Barack Obama joined Punahou School in which grade?,fifth grade,Fifth grade.
united_states,US Cold War involvement,Which war did the United States fight under United Nations command in the early 1950s?,Korean War,The Korean War.
obama,Obama climate change policies,Which vehicle standard did the Obama administration push to reduce GHGs?,CAFE standards,The Corporate Average Fuel Economy (CAFE) standard.
united_states,US climate and weather patterns,Which United States region experiences the most intense Nor'easters?,Northeast United States,"The Northeast region, particularly the Mid-Atlantic and New England."
dogs,Dog anatomy and skeleton,Which bone forms the canine shin?,Tibia,The tibia.
people,Early human species,Common ancestor of Homo sapiens and Homo neanderthalensis?,Homo heidelbergensis,Homo heidelbergensis.
obama,Early life and birthplace,What is Barack Obama's middle name?,Hussein.,Barack Hussein Obama.
chess,Famous chess world champions,Who defeated Boris Spassky to become World Chess Champion in 1972?,Bobby Fischer,Bobby Fischer.
bacteria,Quorum sensing in bacteria,What term describes signaling between closely related bacterial cells?,Intraspecies signaling,Quorum sensing.
people,Early human species,First early human to leave Africa?,Homo erectus,"Omo I, a 160,000-year-old fossil found in Ethiopia."
the_moon,Moon landing conspiracy theories debunked,Why are stars not visible in Apollo Moon photos?,Exposure settings,"The cameras used by the Apollo astronauts were set to capture images of the lunar surface, not the Earth's sky."
paris,Paris cuisine and famous restaurants,Which Paris restaurant near Les Halles is famous for onion soup?,Au Pied de Cochon,Café de la Paix.
people,Human growth and development stages,"In humans, which stage is known for school years and social peers?",Childhood,Late adolescence and young adulthood.
the_moon,Lunar exploration before Apollo,Which country achieved the first successful lunar soft landing?,Soviet Union,The Soviet Union achieved the first successful lunar soft landing.
the_moon,Lunar eclipse facts,Name a type of lunar eclipse.,Total lunar eclipse,Penumbral lunar eclipse.
cats,Cat anatomy and skeleton,Which bones form the cat's ankle?,Tarsal bones,"The calcaneus, talus, and cuboid bones form the cat's ankle."
bacteria,Bacterial role in carbon cycle,Which bacteria form biofilms that influence carbon cycling on sediments?,Biofilm-forming bacteria.,Sulfur-reducing bacteria.
chess,Chess origins and history,Which modern chess piece descended from the Indian elephant?,Bishop,"The modern chess piece known as the ""elephant"" in some chess variants, but more commonly referred to as the ""elephant"" in the game of Xiangqi, is actually the ""War Elephant"" in the Indian game of Chaturanga, which descended from the modern-day ""elephant"" in the game"
the_moon,Lunar eclipse facts,"What is the outer, faint shadow called during a lunar eclipse?",Penumbra,"The outer, faint shadow is called the penumbra."
dogs,Police and military dogs,What is the term for the professional who handles a police dog?,K9 handler,Police dog handler.
chess,Blindfold chess,Blindfold chess: Which piece can jump over others?,Knight,The Knight.
bacteria,Biofilm formation,Name a visualization method to study bacterial biofilms.,Confocal microscopy,Confocal Laser Scanning Microscopy (CLSM).
bacteria,Bacterial membrane transport,What energy source powers most bacterial transporters?,Proton motive force,ATP.
people,Human muscular system,"In the human body, what connective tissue surrounds an entire muscle?",Epimysium,Epimysium.
paris,Paris population and demographics,What is the primary language spoken in Paris?,French,French is the primary language spoken in Paris.
chess,Online chess platforms,Chess.com is best known as what type of site?,online chess platform,Online chess platform.
cats,Cat vaccinations,Which vaccine is legally required in many regions for cats?,Rabies vaccine,Rabies vaccine.
dogs,Dog digestive system,What is the canine digestive pathway called from mouth to anus?,GI tract,The canine digestive pathway is called the gastrointestinal tract.
people,Human language origins,"In human language origins, which feature is tied to syntax emergence?",Hierarchical structure,Gesture-based communication.
lasers,Laser spectroscopy,What term describes the phase stability of laser light used in laser spectroscopy?,coherence,Mode locking.
the_moon,Moon gravity compared to Earth,"For the same mass, how does Moon weight compare to Earth?",About one-sixth as much.,One-sixth.
people,Human record-breaking physical feats,What is the human world record for 200 meters?,19.19 seconds,Usain Bolt's 19.19 seconds.
chess,Chess origins and history,Where did chess originate?,India,"The Indian subcontinent, specifically modern-day India and Pakistan."
the_moon,Lunar Gateway space station,Is Lunar Gateway intended to be a long-term habitat?,"Yes, long-term.","It is designed to be a sustainable, long-term presence in lunar orbit."
lasers,Nobel Prizes related to lasers,Which Nobel Prize year first linked to laser-based quantum electronics?,1964,1964 Nobel Prize in Physics.
bacteria,Antibiotic resistance mechanisms,Which process transfers resistance genes horizontally between bacteria?,Horizontal gene transfer.,Conjugation.
cats,Cat social structure,What nonverbal signal indicates submission in a cat?,low posture,Lowered head and ears.
dogs,Dogs in space exploration,Name one famous space dog besides Laika.,Belka,"Belka, the Soviet space dog who orbited the Earth in 1960."
the_moon,Moon orbit and rotation,Which Moon hemisphere always faces Earth?,Near side,The near side.
bacteria,Bacterial vaccines,Which type of vaccine uses weakened bacteria?,Live attenuated.,Live attenuated vaccine.
paris,French Revolution events in Paris,Which Paris square hosted mass public executions during the Revolution?,Place de la Révolution,The Place de Grève.
obama,Obama political legacy,Which Iran agreement is a key part of Obama’s foreign policy legacy?,Iran nuclear deal,The Joint Comprehensive Plan of Action (JCPOA).
lasers,Excimer laser facts,What wavelength does XeF excimer laser emit?,351 nm,308 nanometers.
paris,Paris arrondissements system,Which arrondissement is the Louvre located in?,1st arrondissement,The Louvre is located in the 1st arrondissement.
chess,En passant rule in chess,Is en passant recognized by FIDE rules?,Yes.,"Yes, it is a special pawn capture."
united_states,US immigration history,Which visa category is designed for relatives of US citizens and residents?,Family-based visas,Immediate Relative (IR) visa category.
the_moon,Chinese Chang'e lunar missions,Which Chang'e mission marked China's first lunar landing with a rover?,Chang'e 3,Chang'e 3.
paris,Paris Olympics history,What is the total number of times Paris has hosted the Summer Olympics by 2024?,Three,Three times.
the_moon,Moon impact on Earth rotation,Which Moon property drives tidal forces on Earth's rotation?,Moon's mass.,Gravitational attraction.
obama,Obama technology and innovation policies,Which agency did Barack Obama create to fund energy research?,ARPA-E,The Advanced Research Projects Agency - Energy (ARPA-E).
lasers,How lasers work and stimulated emission,What is temporal coherence in a laser beam?,Steady phase over time.,Phase stability over time.
the_moon,Moonlight properties,Are there brightness variations across the Moon's surface?,"Yes, local brightness varies.","Yes, due to varying albedo and terrain features."
chess,Correspondence chess history,What characterizes the early pace of correspondence chess?,Long thinking times,Slow and deliberate play.
lasers,Laser beam properties,What property describes the spectral linewidth of a laser beam?,Linewidth,Schawlow-Townes limit.
bacteria,CRISPR origins in bacteria,CRISPR in bacteria functions as what?,immune defense,A defense system against viral infections.
cats,Cat senses and perception,What organ is key for a cat's sense of balance?,Vestibular system.,The vestibular organ in the inner ear.
people,Human evolution timeline,Homo sapiens reached Europe approximately when?,"about 45,000 years ago.","Around 40,000 to 50,000 years ago."
the_moon,Moon lack of atmosphere,Which lunar feature exposes subsurface material for study?,Craters,Impact craters.
dogs,Dog health and common diseases,Which canine skin condition is caused by mites?,Mange,Demodectic mange.
paris,Paris climate and weather,What is Paris's main climate feature?,Mild winters.,Temperate oceanic climate.
the_moon,Moon maria (seas) features,Which lunar mare is the Sea of Tranquility?,Mare Tranquillitatis,Mare Tranquillitatis.
chess,Magnus Carlsen chess facts,What company did Carlsen help found related to chess?,Play Magnus Group,Play Magnus.
people,Human skeletal system,How many bones are in the human skull?,22,There are 22 bones in the human skull.
the_moon,Moon lack of atmosphere,Which mission studied the Moon's exosphere in the 2010s?,LADEE,LADEE mission.
bacteria,Bacterial vaccines,Which bacterial cell wall type is often targeted in vaccines?,Gram-positive and Gram-negative.,Peptidoglycan.
dogs,Dog social hierarchy and pack behavior,Name a dog breed commonly used to study pack behavior?,German Shepherd,"The domestic dog, specifically the domesticated wolf-dog hybrid, is often used to study pack behavior."
paris,Paris art movements,Which Paris movement of the 1960s embraced everyday objects as art in Paris?,Nouveau Réalisme,Nouveau Réalisme.
dogs,Dogs in literature and film,"What is Lassie's breed, the canine star in film and TV?",Rough Collie,Rough Collie.
bacteria,Bacterial flagella and motility,Which bacterium is a model organism for flagella research?,Escherichia coli,Salmonella Typhimurium.
the_moon,Soviet Luna program facts,Which mission carried Lunokhod 1 to the Moon?,Luna 17,Luna 17.
united_states,US energy production facts,Which renewable energy source is associated with large hydroelectric dams in the United States?,Hydropower,Hydroelectric power.
lasers,Laser hair removal technology,What principle enables selective heating of hair follicles during laser hair removal?,Selective photothermolysis,Selective photothermolysis.
obama,2008 presidential campaign,Barack Obama's 2008 campaign relied heavily on what type of fundraising from individuals?,Small donations,Small-dollar donations.
dogs,Dog social hierarchy and pack behavior,Are male dogs always pack leaders?,Not necessarily.,"No, pack leadership is determined by dominance hierarchy, not by sex."
bacteria,Bacterial taxonomy and classification,Bacillus belongs to which bacterial order?,Bacillales,Bacillus belongs to the order Bacillales.
dogs,Dog shows and competitions,What equipment does a handler often use to guide a dog in the show ring?,Show lead,A leash and sometimes a harness.
lasers,Laser coherence properties,What process in a laser produces coherent light via phase alignment?,stimulated emission,Stimulated emission.
chess,Chess in film and television,Which film features a live-action chessboard motif during a dream sequence in a fairy-tale world?,Alice in Wonderland,"The film ""A Knight's Tale"" (2001) features a live-action chessboard motif during a dream sequence in a fairy-tale world."
obama,Osama bin Laden raid,"Which agency contributed to the raid's intelligence, per Obama?",CIA,The CIA.
chess,Chess Elo rating system,What rating system does FIDE use for chess?,Elo rating system,The Elo rating system.
bacteria,Bacterial role in carbon cycle,What term describes photosynthetic bacteria that fix carbon in the presence of light?,Phototrophic bacteria.,Chemoautotrophic phototrophs.
the_moon,Lunar Gateway space station,What does PPE stand for in Lunar Gateway?,Power and Propulsion Element.,Personal Protective Equipment.
lasers,Lasers in dentistry,What process enables laser light amplification?,Stimulated emission,Stimulated emission.
people,Human digestive system,"In humans, where does fat digestion primarily occur?",Small intestine,In the small intestine.
lasers,CO2 laser facts,What is the other CO2 laser emission line besides 10.6 μm?,9.6 μm,9.6 μm.
obama,Teaching at University of Chicago,Barack Obama taught at which Chicago law school?,University of Chicago Law School,The University of Chicago Law School.
obama,Obama technology and innovation policies,Which Obama initiative aimed to map the brain?,BRAIN Initiative,The Brain Research through Advancing Innovative Neurotechnologies (BRAIN) Initiative.
paris,Paris cuisine and famous restaurants,Which Paris restaurant famous for steak frites is Le Relais de l'Entrecôte?,Le Relais de l'Entrecôte,That is correct.
lasers,Lasers in medicine and surgery,Which process enables laser emission from atoms?,Stimulated emission,Stimulated emission.
people,Human sleep science,What environmental cue primarily sets the human circadian clock?,Light,"Light exposure, specifically the presence or absence of blue light."
dogs,Dog senses and perception,What organ is central to a dog's sense of smell?,Nose,The olfactory bulb.
lasers,Lasers in manufacturing and cutting,Which laser parameter controls kerf width most directly?,Laser power,Laser power.
lasers,Laser coherence properties,What process in a gain medium leads to coherent laser output?,stimulated emission,Stimulated emission.
people,Human DNA and genetics,What term describes passing traits in humans?,Heredity,Heritability.
chess,Chess and mathematics connections,What is the name of the estimate for chess game-tree complexity?,Shannon number,Shannon's estimate.
united_states,US climate and weather patterns,Which United States region depends on the North American Monsoon for summer rainfall?,U.S. Southwest,The Southwestern United States.
united_states,US population statistics,What percent of the United States population lived in urban areas in 2020?,About 83%,About 85% of the US population lived in urban areas in 2020.
chess,FIDE chess organization,Which event crowns world youth champions under FIDE?,World Youth Championship,The World Youth Chess Championship.
united_states,US national anthem facts,In what year did Congress designate the national anthem?,1931,It was 1931.
chess,Castling rules in chess,Which squares must be unoccupied for White kingside castling?,f1 and g1.,"f1, g1, and f8 must be unoccupied."
united_states,US largest cities by population,Which United States city is the most populous in Pennsylvania?,Philadelphia,Philadelphia.
obama,Columbia University years,Which university did Barack Obama attend after Occidental College for his 1981–1983 years?,Columbia University,Columbia University.
people,Human blood types,"In humans, what term denotes the presence of the D antigen?",Rh positive,Rh positivity.
united_states,US territorial expansion history,In what year did the United States create the Minnesota Territory?,1849,1838.
paris,Paris literary history,"Which Paris district, the Left Bank's Latin Quarter, became a hub for 19th-century writers?",Latin Quarter,The 5th arrondissement.
dogs,Dog population statistics worldwide,Which term describes roaming domestic dogs globally?,Stray dogs,Feral dogs.
bacteria,Bacterial genetic engineering uses,What term describes introducing a foreign gene into a bacterial plasmid?,Gene cloning,Gene cloning.
people,Human record-breaking physical feats,Who holds the human women's high jump world record?,Stefka Kostadinova,Stefka Kostadinova of Bulgaria.
chess,Speed chess records,Which rating list tracks speed chess performance online?,Blitz rating list,The International Chess Federation (FIDE) uses the FIDE Online Chess Rating System.
cats,Cat size and weight ranges,Abyssinian cat weight range?,4–6 kg,9-12 pounds.
obama,Obama Supreme Court nominations,In what year did Barack Obama nominate Sotomayor?,2009,"May 26, 2009."
paris,Paris founding and early history,Which ancient city on the Seine became Paris in the medieval era?,Lutetia,Lutetia.
people,Human sleep science,What molecule accumulates to signal sleep pressure in the human brain?,Adenosine,Adenosine.
obama,Columbia University years,In what year did Barack Obama graduate from Columbia University?,1983,1983.
dogs,Therapy and emotional support dogs,Which license is typically required for therapy dogs?,Certification often required.,Therapy Dog International (TDI) or Canine Good Citizen (CGC) certification.
cats,Cat population statistics worldwide,What is the approximate global population of domestic cats?,600–750 million,Approximately 600 million.
people,Human brain and cognition,"In humans, which area controls language comprehension?",Wernicke's area,The left posterior superior temporal gyrus.
cats,Cat behavior and body language,What posture signals a relaxed cat?,Relaxed posture.,Stretching out with paws tucked under.
cats,Cat parasites and fleas,What dermatitis is caused by flea bites in felines?,Flea allergy dermatitis,Flea allergy dermatitis.
people,Human cooperation and social behavior,What term refers to shared rules guiding Homo sapiens in a community?,social norms,Social norms.
bacteria,Bacterial DNA replication,What is the multi-protein complex at the bacterial replication fork called?,Replisome,The multi-protein complex at the bacterial replication fork is called the replisome.
people,Human emotions and psychology,Which neurotransmitter is linked to reward in humans?,Dopamine,Dopamine.
paris,Paris festivals and annual events,Which Paris festival celebrates music on the summer solstice?,Fête de la Musique,The Fête de la Musique.
lasers,How lasers work and stimulated emission,What is a common laser pointer type?,Diode laser.,A common laser pointer type is a red diode laser.
united_states,US tech industry and Silicon Valley,Which U.S. company released the iPhone?,Apple,Apple Inc.
chess,Chess set design history,What material is notable in antique chess sets besides wood?,Ivory,Ivory and ebony.
united_states,US Native American history,What policy used boarding schools to assimilate Native American youth in the United States?,Boarding schools policy,The Indian Boarding School Policy.
united_states,US social movements history,What organization formed in the United States in 1968 to advocate Native American rights?,American Indian Movement,The American Indian Movement (AIM).
united_states,US music genres that originated in America,"Which United States music genre from Louisiana blends French, African, and Caribbean influences?",Cajun,Zydeco music.
obama,2008 presidential campaign,Barack Obama's 2008 campaign used which iconic poster artist for the 'Hope' image?,Shepard Fairey,Barack Obama's 2008 campaign used Shepard Fairey's iconic poster art for the 'Hope' image.
obama,Early life and birthplace,In what year did Barack Obama move back to Hawaii from Indonesia?,1971.,"1967, at age 10."
bacteria,Tuberculosis bacterium,Which organ is most commonly affected by tuberculosis bacterium?,Lungs,The lungs.
lasers,Laser applications in agriculture,Which laser type enables precise trimming of horticultural produce?,Fiber laser,Fiber laser.
united_states,US major rivers and waterways,Which U.S. Pacific Northwest river flows into the Pacific Ocean?,Columbia River,Numerous rivers flow into the Pacific Ocean in the U.S. Pacific Northwest.
people,Human skin and hair,What tiny muscle makes human hair stand up?,Arrector pili muscles,The arrector pili muscle.
cats,Cat play behavior,What is a safe alternative to string for cat play?,Wand toy,Wand toys with feathers or fabric attachments.
obama,Obama healthcare reform details,Which Supreme Court case related to Obama healthcare reform upheld the ACA?,NFIB v. Sebelius,National Federation of Independent Business v. Sebelius.
obama,Obama climate change policies,What methane regulation did the Obama era implement for oil and gas?,Methane rule,The Bureau of Land Management's Methane and VOC Rule.
the_moon,Moon temperature extremes,Temperature in lunar crater shadows?,-170°C to -180°C.,"Extremely cold, near absolute zero."
bacteria,Bacterial vaccines,What is herd immunity in bacterial vaccination?,Widespread protection in population.,Prevention of bacterial spread through sufficient vaccination of a population.
paris,Paris in World War II,What Allied operation preceded Paris liberation?,D-Day,Operation Overlord.
obama,Obama approval ratings over time,"By the end of Barack Obama's presidency, approval was roughly around?",around 50%,Around 59%.
dogs,Dog social hierarchy and pack behavior,How do barking and vocalizations affect canine hierarchy?,signal rank,They establish dominance and submission within the pack.
chess,Correspondence chess history,What era popularized electronic communication in correspondence chess?,Email era,The 1980s popularized electronic communication in correspondence chess.
paris,Paris economy and industries,Which Paris expo venue hosts major trade fairs?,Paris Expo Porte de Versailles,The Paris Expo Porte de Versailles.
obama,Affordable Care Act,What does Medicaid expansion do in the Affordable Care Act?,Expands Medicaid eligibility,It increases access to health insurance for low-income individuals.
cats,Wild cat species,Which wild cat species is the fastest on land?,Cheetah,The cheetah is the fastest wild cat species on land.
obama,Education at Punahou School,Obama's Punahou years occurred in which decade?,the 1970s,The 1970s and 1980s.
dogs,Dog behavior and body language,What does a dog do when guarding a resource?,Stares and growls.,It assumes a defensive posture.
the_moon,First humans on the Moon,Who were the first two people to walk on the Moon?,Neil Armstrong and Buzz Aldrin,"Neil Armstrong and Edwin ""Buzz"" Aldrin."
obama,Columbia University years,What is the name of the New York university where Obama studied in the early 1980s?,Columbia University,Columbia University.
cats,Wild cat species,Which wild cat species is among the smallest?,Margay,The rusty-spotted cat.
united_states,US presidents list and facts,Which U.S. president issued the Emancipation Proclamation?,Abraham Lincoln,Abraham Lincoln.
obama,Education at Punahou School,Barack Obama's Punahou education began after moving to which state?,Hawaii,Hawaii.
bacteria,Bacterial cell wall composition,What protein-lipid anchor links outer membrane to peptidoglycan in some Gram-negatives?,Braun's lipoprotein,Lipid A.
united_states,US agriculture and farming facts,Which two crops are the leading US farm cash receipts?,Corn and soybeans,Corn and soybeans.
people,Human demographic statistics,What index compares the number of elderly to working-age humans in a population?,old-age dependency ratio,The old-age dependency ratio.
the_moon,Moon surface features and craters,What is the raised edge around a Moon crater called?,rim,The raised edge around a Moon crater is called a rim.
dogs,Dog memory and cognition,What helps a dog distinguish familiar dogs in a park?,Scent and facial cues.,Olfactory recognition of scent markings.
lasers,Fiber laser technology,What cavity type is common in fiber lasers?,Fabry-Perot cavity.,Double-clad cavity.
dogs,Dog paw anatomy,How many digits does a typical dog's front paw have?,Five,Five toes.
obama,Obama and civil rights,Which initiative did Obama launch to support boys and men of color?,My Brother's Keeper.,My Brother's Keeper initiative.
cats,Cat claws and scratching behavior,Safe indoor alternative for cat scratching?,Scratch posts or pads,Cat scratching post or pad.
cats,Cat population statistics worldwide,"Globally, how many cats are kept as pets in households?",hundreds of millions,Approximately 600 million.
the_moon,Moon in literature and poetry,"In Romantic poetry, the Moon often symbolizes what emotion?",melancholy,Melancholy and longing.
dogs,Working dogs and service dogs,What is the primary job of a service dog?,Assist people with disabilities.,To assist and support individuals with disabilities.
cats,Cat tail communication,What does a Siamese cat's tail twitch indicate when threatened?,Warning.,A Siamese cat's tail twitch indicates agitation or irritation.
obama,Obama executive orders,Barack Obama's Executive Order that revises how agencies regulate?,13563.,"Executive Order 13771, ""Reducing Regulation and Controlling Regulatory Costs""."
chess,Chess notation systems,"What is ""en passant"" in chess notation?",Special pawn capture,A special pawn capture move.
the_moon,Moon effect on ocean tides,Do Moon perigees increase tidal range?,Yes,"Yes, they do."
people,Human endocrine system,Which gland in the human body secretes melatonin?,Pineal gland,The pineal gland.
chess,Chess tournaments and major competitions,Where is the Tata Steel Chess Masters held?,Wijk aan Zee,"In Wijk aan Zee, Netherlands."
bacteria,Cell structure and morphology,"In bacteria, what circular DNA elements carry extra genes?",Plasmids,Plasmids.
paris,Paris climate and weather,Which Paris landmark is iconic in weather photos?,Eiffel Tower.,The Eiffel Tower.
people,Human endocrine system,Which gland in the human body releases vasopressin?,Posterior pituitary,The posterior pituitary gland.
cats,Cats in ancient Egypt,What pests did cats deter in granaries?,Mice,Mice and rats.
obama,Family background and parents,Who were Barack Obama’s biological parents?,Barack Obama Sr. and Ann Dunham.,Barack Obama's biological parents were Ann Dunham and Barack Obama Sr.
cats,Cats and toxoplasmosis,Does feeding cats cooked meat reduce toxoplasmosis risk?,"Yes, reduces risk.",Cooking meat can kill Toxoplasma parasites.
united_states,US civil rights movement,Which amendment guarantees voting rights in the United States regardless of race?,15th Amendment,The 15th Amendment.
dogs,Sled dogs and racing,What term describes the two dogs at the very front?,Lead dogs,Point dogs.
lasers,Laser beam properties,What property describes how stable a laser's wavelength is over time?,Wavelength stability,Monochromaticity.
the_moon,Moon surface features and craters,"What is the flat, dark lava plain on the Moon called?",mare,"It's called a ""maria""."
the_moon,Moon recession from Earth,How does Moon recession affect Earth’s day length?,Day lengthens.,Moon recession causes Earth's day length to increase.
united_states,US tech industry and Silicon Valley,Which U.S. semiconductor company produced the 4004 microprocessor?,Intel,Intel Corporation.
paris,The Louvre Museum facts,Who designed the Louvre Pyramid?,I. M. Pei,I.M. Pei.
the_moon,Astronauts who walked on the Moon,Which mission carried the first scientist-astronaut to walk on the Moon?,Apollo 17,Apollo 17.
dogs,Dog barking and vocalizations,What affects a dog's bark volume?,Emotion.,"Age, size, breed, and emotional state."
paris,Haussmann renovation of Paris,What is the term for the numbered Paris districts created during Haussmann-era reforms?,arrondissements,Arrondissements.
the_moon,Lunar rovers and vehicles,What powers the Apollo LRV on the Moon?,Battery power,Electric motors powered by rechargeable silver-zinc batteries.
the_moon,Moon age estimates,What instrument analyzes isotopic ratios in Moon rocks?,Mass spectrometer,A mass spectrometer.
united_states,US Bill of Rights,Which amendment forbids the establishment of religion by the United States government?,First Amendment,The First Amendment.
paris,French Revolution events in Paris,"From Paris, which event triggered the Flight to Varennes?",Flight to Varennes,The Royal Family's attempted escape to Varennes was triggered by the discovery of the royal family's plans to flee Paris.
united_states,US Native American history,Which Native American tribe in the United States aided the Pilgrims at Plymouth in 1621?,Wampanoag,The Wampanoag tribe.
united_states,US involvement in World Wars,What operation marked the United States invasion of Normandy in WWII?,Operation Overlord,Operation Overlord.
united_states,US healthcare system facts,What funds United States health care primarily?,Private insurance,Private insurance and government programs.
bacteria,Bacteria in soil ecology,What term describes bacteria living near plant roots in soil?,Rhizobacteria,Rhizobia.
united_states,US music genres that originated in America,Which United States music genre from the 1950s fused rock and rhythm and blues?,Rock and roll,Rock and roll.
united_states,US state capitals,"In the United States, what is the capital of Maryland?",Annapolis,Annapolis.
bacteria,Probiotic bacteria,What acid do many probiotic bacteria produce to lower gut pH?,Lactic acid,Lactic acid.
united_states,US Native American history,Who created the Cherokee syllabary for writing the Cherokee language in the United States?,Sequoyah,"Sequoyah, a Cherokee silversmith."
people,Human record-breaking physical feats,What is the human women's 100 meters world record?,10.49 seconds,Florence Griffith-Joyner's 10.49 seconds.
obama,Obama foreign policy and diplomacy,Barack Obama's diplomacy sought a two-state solution in the Middle East between Israelis and Palestinians?,Two-state solution,A cornerstone of his foreign policy.
bacteria,Bacteria in water treatment,What is the standard bacterial indicator used for water safety testing?,coliforms,Escherichia coli (E. coli).
chess,Chess board setup and notation,Black bishop starting square on c8?,c8,It's a weak bishop.
obama,Education at Punahou School,Obama's Punahou graduation year is what?,1979,1979.
lasers,LASIK eye surgery with lasers,Which laser reshapes the cornea in LASIK?,Excimer laser.,Excimer laser.
people,Human teeth and dental facts,Which teeth in humans are used for tearing food?,Canines,The canine teeth.
paris,Paris fashion industry,Which Paris river is a frequent backdrop for fashion shoots?,Seine,The Seine River.
dogs,Dog shows and competitions,What are the divisions like Toy and Herding in dog shows called?,Breed groups,They are called Groups.
the_moon,Moon in mythology and culture,Which Greek Moon goddess drives the Moon across the sky?,Selene,Selene drives the Moon across the sky.
lasers,LASIK eye surgery with lasers,What term describes aligning laser pulses with eye motion during LASIK?,Eye-tracking.,Active eye tracking.
obama,Obama political legacy,What is the nickname for the Affordable Care Act?,Obamacare,Obamacare.
chess,Chess puzzle types,"In chess puzzles, which tactic confines a piece by interference?",Interference,Pin.
chess,Chess in education,Which repetition leads to a draw in chess?,Threefold repetition,Threefold repetition.
obama,Obama relations with world leaders,Obama hosted a meeting with which pope during his tenure?,Pope Francis,Pope Benedict XVI in 2009.
obama,2012 reelection campaign,Which party did Obama represent in the 2012 reelection?,Democratic Party,Democratic Party.
lasers,Lasers in military applications,Which term describes using a laser to guide artillery?,Laser designation.,Laser-guided artillery.
dogs,Therapy and emotional support dogs,What is a common misconception about emotional support dogs?,They are service dogs.,They are often confused with service dogs.
paris,Palace of Versailles connection to Paris,What grand water feature at Versailles is a hallmark near Paris?,Grand Canal,The Grand Canal.
obama,Obama technology and innovation policies,What Obama initiative promoted electric vehicle technology and charging infrastructure?,EV Everywhere,"The ""Smarter Grid Initiative"" and the ""EV Everywhere Grand Challenge"" were part of the Obama administration's efforts, but the most notable initiative was the ""Electric Vehicle Initiative"" under the ""Smarter Transportation"" umbrella, which aimed to promote electric vehicle technology and charging infrastructure."
obama,Iran nuclear deal under Obama,Where was the JCPOA signed under Obama?,Vienna,"Lausanne, Switzerland."
obama,Obama technology and innovation policies,"Under Obama's administration, which policy instructed federal agencies to adopt cloud computing?",Cloud First policy,"The Federal Cloud Computing Strategy, also known as the ""Cloud First"" policy."
the_moon,Moon resource mining potential,Moon resource mining potential: What is the term for extracting resources directly on the Moon?,ISRU,In-situ resource utilization (ISRU).
obama,Economic stimulus package 2009,What is the full name of the Obama-era 2009 stimulus act?,American Recovery and Reinvestment Act,The American Recovery and Reinvestment Act.
